TestName,AMDRyzen5800x-mean_time,AMDRyzen5800x-SEM,AMDRyzen5800XCO-mean_time,AMDRyzen5800XCO-SEM,AMDTurin-mean_time,AMDTurin-SEM,AMDTurinCO-mean_time,AMDTurinCO-SEM,ARM4-mean_time,ARM4-SEM,ARM4CO-mean_time,ARM4CO-SEM,ARM1-mean_time,ARM1-SEM,ARM1CO-mean_time,ARM1CO-SEM,IntelXeon-mean_time,IntelXeon-SEM,IntelXeonCO-mean_time,IntelXeonCO-SEM
Test1/gfortran.x,7.14500,0.03276,7.05600,0.03380,5.44900,0.00827,5.38700,0.00467,7.38200,0.11605,6.83800,0.05791,11.93600,0.48830,11.65100,0.18322,6.71000,0.02656,6.51500,0.00949
Test1/gfortran_o3.x,7.05300,0.03398,6.98000,0.02539,5.49200,0.00507,5.42700,0.00593,7.79600,0.13857,7.02300,0.01596,12.20600,0.22763,12.53400,0.17678,6.62400,0.01612,6.55100,0.00854
Test1/gfortran_w_lu2.x,7.18300,0.02880,7.01700,0.02392,5.44000,0.00515,5.41500,0.00500,6.26700,0.11872,6.16600,0.04265,11.58800,0.17998,13.20800,1.19856,6.64600,0.02071,6.53000,0.01232
Test1/gfortran_w_lu2_o3.x,7.25200,0.03404,7.02000,0.04269,5.44600,0.00644,5.42300,0.00643,7.01000,0.12011,5.96800,0.04108,11.93400,0.12577,12.68300,0.78493,6.59500,0.02000,6.53100,0.00912
Test1/gfortran_w_lu4.x,7.06400,0.03234,6.95600,0.02871,5.43900,0.00781,5.41000,0.00477,7.10000,0.12352,5.98700,0.03949,12.13300,0.18735,12.95600,0.68386,6.55700,0.02054,6.53100,0.01373
Test1/gfortran_w_lu8.x,6.98400,0.03311,7.00200,0.03280,5.42700,0.00450,5.42100,0.00608,6.23300,0.13601,5.85000,0.04001,12.46700,0.20888,12.30200,0.28538,6.58000,0.02506,6.52500,0.00976
Test1/flang.x,0.00000,0.00000,0.00000,0.00000,5.43300,0.00729,5.41600,0.00511,6.97500,0.15738,6.46800,0.11906,0.00000,0.00000,0.00000,0.00000,6.51000,0.01111,6.53000,0.01285
Test1/flang_o3.x,0.00000,0.00000,0.00000,0.00000,5.42700,0.00566,5.40600,0.00465,6.94300,0.16102,6.30700,0.11785,0.00000,0.00000,0.00000,0.00000,6.55600,0.02682,6.49000,0.00904
Test1/flang_w_lu2.x,0.00000,0.00000,0.00000,0.00000,5.43200,0.00735,5.41200,0.00542,6.39200,0.11906,6.32800,0.10266,0.00000,0.00000,0.00000,0.00000,6.59100,0.01906,6.52900,0.01267
Test1/flang_w_lu2_o3.x,0.00000,0.00000,0.00000,0.00000,5.42300,0.00489,5.41900,0.00515,6.96100,0.16369,5.88700,0.07507,0.00000,0.00000,0.00000,0.00000,6.57900,0.01995,6.52400,0.00969
Test1/flang_w_lu4.x,0.00000,0.00000,0.00000,0.00000,5.42500,0.00701,5.39700,0.00544,6.79100,0.13885,6.44200,0.11993,0.00000,0.00000,0.00000,0.00000,6.58100,0.02453,6.51900,0.00867
Test1/flang_w_lu8.x,0.00000,0.00000,0.00000,0.00000,5.42100,0.00495,5.41300,0.00464,6.67800,0.15161,6.19300,0.11949,0.00000,0.00000,0.00000,0.00000,6.59900,0.03384,6.51400,0.02113
Test1/ifx.x,6.80000,0.08916,4.20000,0.10860,5.43000,0.00592,2.05700,0.02010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.62700,0.02199,4.62600,0.01682
Test1/ifx_o3.x,7.02500,0.14973,4.02500,0.20720,5.43100,0.00658,2.02700,0.02125,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.74200,0.04429,4.63900,0.01175
Test1/ifx_w_lu2.x,7.02500,0.18772,4.32500,0.11540,5.41600,0.00373,1.96800,0.01665,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.53400,0.01764,4.63400,0.01334
Test1/ifx_w_lu2_o3.x,7.17500,0.16751,4.22500,0.09798,5.42500,0.00756,2.04300,0.02094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.55100,0.01264,4.63500,0.01238
Test1/ifx_w_lu4.x,6.95000,0.12378,3.97500,0.11595,5.40800,0.00722,2.10500,0.02704,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.54400,0.01259,4.60100,0.01069
Test1/ifx_w_lu8.x,6.92500,0.09049,4.27500,0.15186,5.40200,0.00453,2.21600,0.02685,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.52300,0.01028,4.59000,0.01313
Test1/gpp.x,7.06000,0.02938,7.23300,0.03243,32.36800,0.01725,26.98000,0.01012,5.84500,0.11559,6.31400,0.02046,12.54400,0.20830,12.73500,0.23334,18.77500,0.01512,18.79100,0.01973
Test1/gpp_o3.x,7.15600,0.04369,7.09300,0.04300,18.89300,0.01022,8.11500,0.00833,7.17700,0.15810,6.29400,0.03927,12.51800,0.22184,11.76900,0.25734,12.40000,0.01326,9.43400,0.02859
Test1/gpp_w_lu2.x,5.06400,0.04447,5.11300,0.04497,2.78100,0.01186,2.75800,0.00983,3.75800,0.09485,3.45600,0.01245,5.92000,0.15691,6.97700,0.15335,5.95400,0.02164,5.92800,0.02450
Test1/gpp_w_lu2_o3.x,5.04800,0.04510,5.29600,0.05095,2.77400,0.00857,2.79400,0.01232,4.23500,0.10811,3.43800,0.00801,6.60100,0.11524,6.79200,0.08598,6.00200,0.01550,5.98100,0.02837
Test1/gpp_w_lu4.x,4.95300,0.06148,4.95200,0.04701,2.04300,0.02035,2.07000,0.02025,2.50900,0.09514,1.86500,0.02060,4.06600,0.09791,4.37100,0.22949,5.58500,0.01803,5.59400,0.01519
Test1/gpp_w_lu8.x,4.85400,0.05376,4.97700,0.06065,1.96900,0.02264,2.00700,0.02179,2.33000,0.09501,1.38100,0.02865,3.16200,0.10529,3.79700,0.45076,5.60100,0.02029,5.52100,0.02217
Test1/icx.x,4.63600,0.05134,4.16000,0.03672,1.90100,0.02298,1.99800,0.02438,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.31500,0.02382,4.75300,0.01369
Test1/icx_o3.x,4.59200,0.06286,4.21000,0.05659,1.91200,0.02437,1.93400,0.02469,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.33800,0.02156,4.75000,0.01720
Test1/icx_w_lu2.x,4.61100,0.05586,4.18000,0.04851,1.94400,0.02306,1.93100,0.02811,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.28800,0.01897,4.70700,0.01458
Test1/icx_w_lu2_o3.x,4.55500,0.04691,4.16400,0.04050,1.93200,0.01995,1.91700,0.02581,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.31900,0.02257,4.72100,0.01519
Test1/icx_w_lu4.x,4.64500,0.04853,4.12700,0.04591,1.93000,0.02415,1.87400,0.02592,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.32600,0.02611,4.73900,0.01379
Test1/icx_w_lu8.x,4.55100,0.03305,4.15900,0.04604,1.89900,0.02402,1.83100,0.02640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.29800,0.02491,4.73900,0.01895
Test1/clang.x,0.00000,0.00000,0.00000,0.00000,5.40200,0.00438,5.43900,0.00722,7.05700,0.07767,6.38500,0.01675,0.00000,0.00000,0.00000,0.00000,6.49400,0.01235,6.52400,0.01463
Test1/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.41300,0.00573,5.44100,0.01232,6.85100,0.10834,6.23500,0.03655,0.00000,0.00000,0.00000,0.00000,6.61700,0.02958,6.53100,0.01462
Test1/clang_w_lu2.x,0.00000,0.00000,0.00000,0.00000,2.78000,0.01157,2.77600,0.01151,3.51600,0.06764,3.45800,0.00893,0.00000,0.00000,0.00000,0.00000,5.83000,0.03504,5.78000,0.02623
Test1/clang_w_lu2_o3.x,0.00000,0.00000,0.00000,0.00000,2.77300,0.01144,2.77700,0.00911,3.44400,0.08577,3.48300,0.01085,0.00000,0.00000,0.00000,0.00000,5.70200,0.03213,5.78700,0.02296
Test1/clang_w_lu4.x,0.00000,0.00000,0.00000,0.00000,2.03100,0.03199,2.02200,0.02412,2.78200,0.10814,1.85600,0.01324,0.00000,0.00000,0.00000,0.00000,5.67300,0.02822,5.68200,0.01968
Test1/clang_w_lu8.x,0.00000,0.00000,0.00000,0.00000,1.96000,0.02343,1.98400,0.01935,1.86500,0.08175,1.42400,0.02215,0.00000,0.00000,0.00000,0.00000,5.60500,0.02332,5.68000,0.02289
Test2/gfortran.x,10.48100,0.09861,10.35100,0.07217,4.12700,0.05784,3.93500,0.04248,4.44300,0.05977,2.95700,0.01072,7.98100,0.09199,8.26700,0.12804,9.81500,0.03496,7.90300,0.01056
Test2/gfortran_o3.x,10.37500,0.11652,9.90400,0.09433,3.85200,0.03774,3.89900,0.04474,2.97000,0.07020,1.99900,0.02599,5.68500,0.20992,6.70100,0.18766,8.66200,0.02139,7.88300,0.01206
Test2/gfortran_w_lu2.x,10.41200,0.12044,10.52000,0.10960,3.81500,0.03466,3.78400,0.03270,2.03400,0.04745,1.98700,0.02767,6.25700,0.11535,6.45600,0.13399,8.65500,0.01970,7.82700,0.01353
Test2/gfortran_w_lu2_o3.x,10.65400,0.24991,9.93800,0.11261,3.78700,0.03315,3.80900,0.03725,4.31200,0.12510,2.06900,0.02942,5.53800,0.19303,6.22100,0.09679,8.70100,0.02263,7.82900,0.01165
Test2/gfortran_w_lu4.x,10.27300,0.11327,10.31600,0.11230,3.81800,0.03872,3.74900,0.03386,3.14900,0.18508,1.98000,0.03015,6.19200,0.14260,5.26800,0.14487,8.63000,0.01907,7.91900,0.01510
Test2/gfortran_w_lu8.x,10.39500,0.10353,10.10800,0.09112,3.73700,0.03530,9.24300,0.03195,3.19200,0.08941,1.98700,0.03060,3.54800,0.16818,5.37300,0.09965,8.83600,0.01963,9.53000,0.02987
Test2/flang.x,0.00000,0.00000,0.00000,0.00000,3.73600,0.03662,3.78100,0.02992,3.59100,0.19593,2.15900,0.04925,0.00000,0.00000,0.00000,0.00000,8.62900,0.02262,8.55200,0.02387
Test2/flang_o3.x,0.00000,0.00000,0.00000,0.00000,3.74300,0.02953,3.80100,0.03476,4.41700,0.05258,2.30400,0.04500,0.00000,0.00000,0.00000,0.00000,8.59800,0.01901,8.62200,0.02320
Test2/flang_w_lu2.x,0.00000,0.00000,0.00000,0.00000,3.77000,0.03885,3.73200,0.03860,4.10300,0.08904,2.28900,0.03432,0.00000,0.00000,0.00000,0.00000,8.63500,0.01999,8.59900,0.01815
Test2/flang_w_lu2_o3.x,0.00000,0.00000,0.00000,0.00000,3.76400,0.03455,3.79700,0.03726,4.66500,0.19884,2.13900,0.07687,0.00000,0.00000,0.00000,0.00000,8.60900,0.01840,8.64700,0.01444
Test2/flang_w_lu4.x,0.00000,0.00000,0.00000,0.00000,4.77600,0.02420,4.77700,0.02904,3.23400,0.22063,2.29800,0.02873,0.00000,0.00000,0.00000,0.00000,9.86200,0.01908,9.85600,0.01857
Test2/flang_w_lu8.x,0.00000,0.00000,0.00000,0.00000,3.78700,0.03586,3.76600,0.03492,4.21600,0.13189,2.03000,0.04961,0.00000,0.00000,0.00000,0.00000,8.47800,0.01809,8.48900,0.01886
Test2/ifx.x,10.15000,0.20428,9.42500,0.25792,3.77700,0.03123,3.73200,0.03427,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.26000,0.02808,7.97000,0.01374
Test2/ifx_o3.x,10.62500,0.18147,9.25000,0.19199,4.06700,0.06681,3.71600,0.03044,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.72000,0.01783,7.97700,0.01523
Test2/ifx_w_lu2.x,10.15000,0.12685,9.60000,0.20506,3.76100,0.03507,3.76700,0.03213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.13900,0.02873,7.97100,0.01091
Test2/ifx_w_lu2_o3.x,10.07500,0.13581,9.57500,0.14272,3.78300,0.03272,3.75100,0.03094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.54100,0.01851,7.99300,0.02172
Test2/ifx_w_lu4.x,10.05000,0.17153,9.55000,0.23191,3.74700,0.02834,3.80400,0.03410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.13100,0.02806,7.98700,0.01735
Test2/ifx_w_lu8.x,10.02500,0.13629,10.12500,0.17242,3.78700,0.04079,8.90200,0.02131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.21900,0.03580,9.05600,0.02566
Test2/gpp.x,10.52500,0.06698,10.51200,0.14858,3.98500,0.03835,3.93600,0.03011,3.66000,0.20901,2.35300,0.03465,8.23700,0.43597,5.91000,0.35133,9.57700,0.02493,9.70600,0.02235
Test2/gpp_o3.x,10.05400,0.08144,9.69700,0.07166,3.82600,0.04239,3.75300,0.03631,2.43100,0.03266,2.30600,0.04650,6.35700,0.15793,5.90800,0.16386,8.66800,0.02651,8.00700,0.01236
Test2/gpp_w_lu2.x,10.50200,0.10892,10.63400,0.15880,4.11100,0.03156,3.91700,0.03558,2.34600,0.03566,2.36100,0.06210,6.08600,0.13417,4.77000,0.17623,9.33900,0.02511,9.41700,0.01569
Test2/gpp_w_lu2_o3.x,9.91200,0.04269,9.96600,0.09712,3.84800,0.03817,3.81900,0.03514,2.35800,0.03179,2.23600,0.04540,6.47000,0.22689,5.64000,0.26660,8.81700,0.02173,7.98900,0.01060
Test2/gpp_w_lu4.x,10.25200,0.07982,10.26800,0.10581,3.85600,0.03799,3.87900,0.02893,2.40600,0.03082,2.38300,0.03073,6.21000,0.08340,6.31800,0.21231,9.08100,0.02652,9.12200,0.03184
Test2/gpp_w_lu8.x,10.20100,0.06583,10.25600,0.07807,3.86100,0.03186,3.93100,0.03620,2.54100,0.04065,2.51200,0.02628,6.91000,0.14649,6.95000,0.19448,9.03400,0.02896,9.06700,0.02605
Test2/icx.x,10.11400,0.06163,10.12800,0.10293,3.80000,0.03749,3.79100,0.03613,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.64700,0.01996,7.97000,0.01295
Test2/icx_o3.x,10.19700,0.06533,9.83800,0.09246,3.75100,0.03367,3.80200,0.04305,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.66000,0.02058,8.00300,0.01396
Test2/icx_w_lu2.x,10.01400,0.04003,9.67900,0.11131,3.83900,0.04260,3.81100,0.03786,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.64700,0.02395,7.99900,0.01708
Test2/icx_w_lu2_o3.x,10.13100,0.06332,10.27400,0.11554,3.69000,0.04009,3.74800,0.04414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.62000,0.02341,8.01300,0.01315
